Gene_id,E1_24,E2_24,E3_24,E1_48,E2_48,E3_48,C1,C2,C3
sp|Q8VIJ6|SFPQ_MOUSE,25.222398416147822,24.096354847467513,24.919116828277918,24.470851477893973,24.092004766992194,24.01256725501844,24.443099861117354,23.871265310015936,23.903985522775148
sp|Q91V41|RAB14_MOUSE,23.02816777653842,-inf,-inf,23.644384423761547,22.444225292161843,-inf,-inf,-inf,-inf
sp|Q91V61|SFXN3_MOUSE,23.08586012515984,24.392049039364185,24.247714311617532,24.08893571743566,25.147674165315014,25.04859862233436,24.440187371236735,25.190388966200587,25.11937589810994
tr|Q3V117|Q3V117_MOUSE,-inf,24.456259149487423,-inf,-inf,-inf,-inf,-inf,-inf,-inf
sp|Q91VC3|IF4A3_MOUSE,23.37888326957735,23.365996640412256,23.710723209756164,23.462513256042794,22.732644428491632,23.189167614654107,23.244901502691246,22.71542329811061,-inf
sp|Q91VD9|NDUS1_MOUSE,22.415577767593913,24.039758449328836,23.508211632188456,23.133014240606276,24.37019410741255,24.316101957194384,23.692747445322944,24.45199081785062,24.310357607258286
sp|Q91VI7|RINI_MOUSE,27.568193189867824,28.050820981481518,28.269056675773587,27.908962987887115,28.213962038314083,28.15981006635731,27.859405778446252,28.177263874302366,28.464392004014393
sp|Q91VJ2|CAVN3_MOUSE,-inf,22.96275200421162,-inf,22.71795582982453,23.2923542142319,-inf,-inf,-inf,-inf
tr|A2AFI3|A2AFI3_MOUSE,-inf,-inf,22.850908651766186,21.148799285544843,-inf,22.594525988894826,21.809705335951122,-inf,-inf
tr|Q8C2Q8|Q8C2Q8_MOUSE,27.383026979110006,26.73930987580784,27.210854130170716,27.1610603604612,26.952159664097422,26.621007519118535,26.974869323688356,26.788429797643946,27.06558409938262
sp|Q91VR5|DDX1_MOUSE,23.644164349771202,24.154604907226048,23.107604051074816,23.101076731986172,-inf,22.58849962784672,22.504991572611605,22.109326938895304,-inf
sp|Q91VT4|CBR4_MOUSE,-inf,-inf,-inf,-inf,-inf,-inf,-inf,21.1116527620415,21.560808603275724
tr|A2AMY5|A2AMY5_MOUSE,24.058623995050606,-inf,22.39785634533394,23.19371604625697,22.49335903097799,-inf,22.964709612065924,22.20380082947332,22.130816876164378
sp|Q91W92|BORG5_MOUSE,24.13500467312781,25.019794988196384,25.280933846918387,25.209144247153883,25.307164113250362,25.03883796291672,24.98024070670454,25.056351610966132,25.326802781548054
sp|Q91WD5|NDUS2_MOUSE,-inf,-inf,-inf,20.99941376403414,-inf,-inf,-inf,-inf,-inf
sp|Q91WK2|EIF3H_MOUSE,-inf,20.84368187414898,-inf,-inf,-inf,-inf,-inf,-inf,-inf
sp|Q91WL8|WWOX_MOUSE,-inf,22.740612516479437,21.89241385483725,22.66444554840167,23.24858314334562,-inf,-inf,-inf,-inf
sp|Q91X78|ERLN1_MOUSE,-inf,-inf,22.45645970137096,-inf,-inf,-inf,-inf,-inf,22.052451302572827
sp|Q91X84|CRTC3_MOUSE,25.09317413290961,25.946972470401747,26.244778135568886,26.017566756207646,26.792779572781335,26.718164931214982,26.471502814495963,26.88867061088646,26.817020914408438
tr|A0A494B8Y8|A0A494B8Y8_MOUSE,22.833642148634915,23.395583293829063,23.336471691469306,23.052998478273132,22.72411161623228,23.51219647978144,23.40080336299183,22.905308405191597,23.39322808645528
sp|Q91XV3|BASP1_MOUSE,-inf,-inf,-inf,21.680459111970087,22.579964982229182,21.582516899543915,-inf,-inf,-inf
tr|E9QKZ2|E9QKZ2_MOUSE,-inf,22.97168948652505,21.66018570457137,-inf,22.535948330998888,22.423344719866428,21.963246065774936,22.73900592874307,22.631120201847263
tr|E9PYT3|E9PYT3_MOUSE,22.999121245046037,23.129936992426693,22.9406111165822,23.17765737365746,23.08577909991251,23.306190775515383,22.793404861564422,22.8275497182533,23.494970789912976
sp|Q91YI6|GLD2_MOUSE,22.273582771795656,-inf,22.163338877837557,22.028032844342206,-inf,-inf,22.503293913215174,-inf,-inf
sp|Q91YM4|FAKD4_MOUSE,22.194182127727807,-inf,-inf,22.71592597201679,-inf,22.446650202544966,22.262040921359034,22.54488804560507,22.439616847892175
sp|Q91YQ5|RPN1_MOUSE,26.754808413455198,26.7353122378294,26.675460480260742,26.554015794144767,27.016376957128536,26.79674506585595,26.662480193642274,26.83448628835777,27.07979090971117
tr|D3YUM1|D3YUM1_MOUSE,-inf,22.388558657015764,22.269650633249064,-inf,-inf,-inf,-inf,-inf,21.768219869523993
sp|Q91YT7|YTHD2_MOUSE,22.75280937298029,-inf,-inf,22.79225332620608,-inf,22.671049472367446,23.17554224124348,-inf,-inf
sp|Q91YT8|CSCL1_MOUSE,-inf,-inf,-inf,-inf,21.781847936555618,21.51926958985226,20.823376570359613,21.75723210177436,21.84949673263129
sp|Q91Z96|BMP2K_MOUSE,23.472959503168692,22.704573228152466,23.628563906279147,23.778262454598234,23.121235015974225,23.37265360608517,24.062828783985037,23.384822738818126,23.08624898301558
sp|Q91ZA3|PCCA_MOUSE,28.528205603426247,31.514086938942533,31.298601026726423,29.77050458349269,32.607283075074804,32.85664079402794,30.674804132220626,32.776038964612354,32.67126480849939
sp|Q91ZD4|VANG2_MOUSE,-inf,21.234267804042812,-inf,-inf,-inf,-inf,-inf,-inf,-inf
sp|Q91ZN5|S35B2_MOUSE,22.81897686004968,-inf,-inf,23.125387613422188,22.9406111165822,-inf,22.99696854680293,-inf,23.484191561333454
sp|Q91ZW3|SMCA5_MOUSE,-inf,-inf,22.28754330381737,-inf,-inf,-inf,-inf,22.025534319693623,-inf
sp|Q91ZX7|LRP1_MOUSE,-inf,21.89681722616841,21.207529149602237,-inf,-inf,-inf,-inf,-inf,-inf
sp|Q920E5|FPPS_MOUSE,-inf,23.429691759074945,-inf,-inf,-inf,-inf,-inf,-inf,-inf
sp|Q920L1|FADS1_MOUSE,25.693119801768653,25.828494278770435,26.376235636166083,26.17079474212759,26.307320481297914,26.316291891134586,26.643201131147393,26.38825974510635,26.627562382434075
sp|Q921F2|TADBP_MOUSE,21.851023071158014,22.598484189692392,22.02177840070433,21.85429924096696,22.030762764638894,22.040026116954717,21.823104411430148,21.708093720746085,21.70214393238768
sp|Q921I6|SH3B4_MOUSE,23.116578755776334,-inf,-inf,23.15465125812936,-inf,-inf,22.887755355883787,-inf,-inf
sp|Q921U8|SMTN_MOUSE,23.87013666138345,22.247076835640588,23.278241854408673,23.430840452493264,-inf,-inf,23.31326724530179,-inf,22.34237095864451
sp|Q922B2|SYDC_MOUSE,25.937529895169984,24.854575089970645,24.92011693201407,25.574327894006274,24.710880826796785,24.581011584411737,25.15402539525164,24.45148782994667,24.629175606538848
sp|Q922D8|C1TC_MOUSE,28.204991210469824,27.7123379686687,28.154798026166286,27.96785209731262,28.15450833806099,28.09773165197029,27.897468264973153,28.193052372101885,28.04926361199393
sp|Q922F4|TBB6_MOUSE,28.912964601296324,28.84059157464117,28.638513471118184,29.038131509769055,29.302103417230306,29.296228541138937,29.71522165571425,29.497850984411695,29.24302173162906
sp|Q922J9|FACR1_MOUSE,25.363626010305886,25.216822811875623,25.427295706218054,25.47574480882994,25.180217250011413,25.123328598028724,25.398750214524725,25.180672538391015,25.499783128203685
sp|Q922Q4|P5CR2_MOUSE,25.687551035427553,25.419183541241413,25.237976646306723,25.43170137274522,25.865684004446585,25.728996651476486,25.402398238606963,25.80928828343459,25.88783436017517
sp|Q922R8|PDIA6_MOUSE,22.427212571642528,-inf,-inf,-inf,22.78082728208016,-inf,-inf,-inf,22.14640832650188
sp|Q922W5|P5CR1_MOUSE,-inf,-inf,-inf,-inf,-inf,22.630231569210057,22.225909941299182,-inf,22.58465152257457
tr|A0A338P6B4|A0A338P6B4_MOUSE,21.590031430498282,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
tr|A0A0J9YU82|A0A0J9YU82_MOUSE,23.657309725828124,23.1873109902967,23.63167531941958,23.58083911982136,23.212406137935947,23.487752711899834,23.887532261586998,23.239317657797574,23.820360515967316
sp|Q924C1|XPO5_MOUSE,-inf,22.56553444265637,-inf,-inf,-inf,-inf,-inf,-inf,-inf
sp|Q924Z4|CERS2_MOUSE,24.251908826195454,24.127546027966762,24.124630616039713,24.066857168344622,24.511653739148958,24.038670538634197,24.08229070241016,23.980937955574937,24.558941942765088
sp|Q99020|ROAA_MOUSE,24.347056840373874,24.021236199757116,23.96991695041178,23.920162374806136,23.68153182749344,24.089905596491274,23.841245682578464,23.517372396789398,23.682603745992036
