Entry	Entry name	Gene names
Q60714	S27A1_MOUSE	Slc27a1 Fatp Fatp1
Q8HWA3	Q8HWA3_MOUSE	Ulbp1
A2A6A1	GPTC8_MOUSE	Gpatch8 Gpatc8 Kiaa0553
A2ACG7	A2ACG7_MOUSE	Rpn2
P14148	RL7_MOUSE	Rpl7
A0A338P6S3	A0A338P6S3_MOUSE	Smpd4
A2AMY5	A2AMY5_MOUSE	Ubap2
Q60931	VDAC3_MOUSE	Vdac3
P47963	RL13_MOUSE	Rpl13
Q3V009	TMED1_MOUSE	Tmed1 Il1rl1l
O35740	CITE2_MOUSE	Cited2 Mrg1 Msg2
Q9CQV8	1433B_MOUSE	Ywhab
Q9ERD7	TBB3_MOUSE	Tubb3
Q8BI22	CE128_MOUSE	Cep128
H3BKM0	H3BKM0_MOUSE	Ap2b1
P54116	STOM_MOUSE	Stom Epb7.2 Epb72
A2AN61	A2AN61_MOUSE	Ciz1
E9Q855	E9Q855_MOUSE	Scamp3
Q91V01	MBOA5_MOUSE	Lpcat3 Grcc3f Mboat5 Oact5
Q8BI72	CARF_MOUSE	Cdkn2aip Carf
P00405	COX2_MOUSE	Mtco2 COII COX2 mt-Co2
P29533	VCAM1_MOUSE	Vcam1 Vcam-1
A2AGN7	A2AGN7_MOUSE	Psmc3
Q6PFQ7	RASL2_MOUSE	Rasa4 Capri Kiaa0538
P49718	MCM5_MOUSE	Mcm5 Cdc46 Mcmd5
Q99J99	THTM_MOUSE	Mpst
Q91WF7	FIG4_MOUSE	Fig4 Kiaa0274 Sac3
Q9CQZ0	ORML2_MOUSE	Ormdl2
Q9CQT1	MTNA_MOUSE	Mri1
P13439	UMPS_MOUSE	Umps
P17427	AP2A2_MOUSE	Ap2a2 Adtab
Q8K1J6	TRNT1_MOUSE	Trnt1
O35295	PURB_MOUSE	Purb
Q9JJ28	FLII_MOUSE	Flii Fli1 Fliih
O88736	DHB7_MOUSE	Hsd17b7 17hsd7
A0A0R4J044	A0A0R4J044_MOUSE	Pcbp4
Q61846	MELK_MOUSE	Melk Kiaa0175 Pk38
E9Q9F3	E9Q9F3_MOUSE	Cald1
Q05793	PGBM_MOUSE	Hspg2
Q9QZA0	CAH5B_MOUSE	Ca5b Car5b
P61620	S61A1_MOUSE	Sec61a1 Sec61a
G3X8R5	G3X8R5_MOUSE	Qrich1
P05064	ALDOA_MOUSE	Aldoa Aldo1
O89023	TPP1_MOUSE	Tpp1 Cln2
Q03963	E2AK2_MOUSE	Eif2ak2 Pkr Prkr Tik
P17426	AP2A1_MOUSE	Ap2a1 Adtaa Clapa1
G5E8J4	G5E8J4_MOUSE	Ptpn21
Q9R1P0	PSA4_MOUSE	Psma4
Q99M87	DNJA3_MOUSE	Dnaja3 Tid1
P06537	GCR_MOUSE	Nr3c1 Grl Grl1
P46978	STT3A_MOUSE	Stt3a Itm1
Q6GQT9	NOMO1_MOUSE	Nomo1
D3Z6H8	DCAM2_MOUSE	Amd2 Amd-2
O08901	BUB1_MOUSE	Bub1
A0A0G2JFV9	A0A0G2JFV9_MOUSE	Exosc9
Q9CWK8	SNX2_MOUSE	Snx2
Q3UHK8	TNR6A_MOUSE	Tnrc6a Kiaa1460
P49717	MCM4_MOUSE	Mcm4 Cdc21 Mcmd4
A0A1D5RLD8	A0A1D5RLD8_MOUSE	Gm10358
A0A3B2WDD2	A0A3B2WDD2_MOUSE	Rpl10a
Q8K0C4	CP51A_MOUSE	Cyp51a1 Cyp51
P17182	ENOA_MOUSE	Eno1 Eno-1
Q99J56	DERL1_MOUSE	Derl1 Der1
Q99PV0	PRP8_MOUSE	Prpf8 Prp8
P46460	NSF_MOUSE	Nsf Skd2
D3Z7R0	D3Z7R0_MOUSE	Bckdk
Q9JJ66	CDC20_MOUSE	Cdc20
Q91Z96	BMP2K_MOUSE	Bmp2k Bike
Q01768	NDKB_MOUSE	Nme2
Q8R5L1	Q8R5L1_MOUSE	C1qbp
P61750	ARF4_MOUSE	Arf4
O55142	RL35A_MOUSE	Rpl35a
B7ZC94	B7ZC94_MOUSE	Tnrc6c
Q61029	LAP2B_MOUSE	Tmpo Lap2
P28301	LYOX_MOUSE	Lox Rrg
Q9CX34	SGT1_MOUSE	Sugt1
Q9JIM1	S29A1_MOUSE	Slc29a1 Ent1
Q65Z40	WAPL_MOUSE	Wapl Kiaa0261 Wapal
P35486	ODPA_MOUSE	Pdha1 Pdha-1
E9Q634	MYO1E_MOUSE	Myo1e Myr3
Q80YV2	NIPA_MOUSE	Zc3hc1 Nipa
Q8BGJ5	Q8BGJ5_MOUSE	Ptbp1
Q99L85	ELP5_MOUSE	Elp5 Derp6 Rai12
P53995	APC1_MOUSE	Anapc1 Mcpr Tsg24
P54729	NUB1_MOUSE	Nub1 Nyren18
Q91YZ8	Q91YZ8_MOUSE	Pabpc4
